LOCATION,NAME
2203,Zuil 2703 Stroom
2205,Zuil 2704 Stroom
2207,Zuil 2727 Stroom
2209,Zuil 2728 Stroom
2211,Zuil 2729 Stroom
2213,Zuil 2730 Stroom
2215,Zuil 2731 Stroom
2217,Zuil 2732 Stroom
2219,Zuil 2733 Stroom
2225,Zuil 4501 Stroom
2227,Zuil 2734 Stroom
2229,Zuil 2735 Stroom
2231,Zuil 2736 Stroom
2233,Zuil 2737 Stroom
2237,Zuil 2738 Stroom
2239,Zuil 2719 Stroom
2241,Zuil 2720 Stroom
2243,Zuil 2721 Stroom
2245,Zuil 2700 Stroom
2247,Zuil 2739 Stroom
2249,Zuil 2740 Stroom
2251,Zuil 2741 Stroom
2253,Zuil 2742 Stroom
2255,Zuil 2745 Stroom
2257,Zuil 2746 Stroom
2259,Zuil 2743 Stroom Water
2261,Zuil 2744 Stroom Water
2263,zuil 2747 elektriciteit
2265,zuil 2748 elektriciteit
2267,zuil 2749 elektriciteit
2269,zuil 2750 elektriciteit
2271,Zuil 2751 Stroom
2273,Zuil 2752 Stroom
2275,Zuil 2753 Stroom
2277,2773  Wasserette
2279,Zuil 2759 Stroom
2281,Zuil 2754 Water
2283,Zuil 2755 Water
2285,Zuil 2756 Water
2287,Zuil 2757 Water
2289,Zuil 2758 Water
2291,Zuil 1234 Stroom
2293,Zuil 2760 Stroom + Water
2295,Zuil 2761 Stroom
2297,Zuil 2762 Stroom
2299,Zuil 2763 Stroom + Water
2301,Zuil 2764 Stroom + Water
2303,Zuil 2765 Pomp
2305,Zuil 2766 Stroom Water
2307,Verblijf
2309,Verblijf
2311,Verblijf
2313,Zuil 2769 Stroom
2315,Zuil 2770 Stroom
2317,Zuil 2771 Stroom
2319,Zuil 2772 Stroom
2323,Kast 28050-55
2325,Kast 28056-61
2327,Kast 28062-67
2329,Kast 28068-71
2331,Kast 28072-77
2333,Kast 28078-83
2337,Kast 28084-89
2339,Kast 28090-93
2341,
2345,2774 Wasserette
2347,Demo Miele
2349,2775 Wasserette
2351,Verblijf
2353,Box 2777
2355,2778 Wasserette
2359,Zuil 2781 Stroom
2361,verblijf 12 meter
2363,verblijf 10 meter
2365,verblijf 8 meter
2367,Verblijf
2369,2782 Wasserette
2371,Zuil 2792 Stroom
2373,Zuil 2793 Stroom
2375,Zuil 2794 Stroom
2377,Verblijf boxen
2379,Verblijf kade west
2381,Verblijf kade oost
2383,Verblijf
2385,Zuil 2783 Stroom
2387,Zuil 2784 Stroom
2389,Zuil 2785 Stroom
2391,Zuil 2786 Stroom
2395,Zuil 2787 Stroom
2397,Zuil 2788 Stroom
2399,Zuil 2789 Stroom
2401,Zuil 2790 Stroom en Water
2403,Zuil 2791 Stroom
2405,Verblijf
2407,2601 Wasserette
2409,Zuil 2795 Stroom
2415,Zuil 2796 Stroom
2419,Zuil 2797 Stroom
2421,Zuil 2828 Stroom en Water
2423,Zuil 2829 Stroom en Water
2425,Zuil 2830 Stroom en Water
2427,Zuil 2831 Stroom en Water
2429,Zuil 2849 Stroom
2431,Zuil 2850 Stroom
2433,Zuil 2851 Stroom
2435,2726 Wasserette
2437,Zuil 2832 Stroom
2439,Zuil 2833 Stroom
2441,Zuil 2834 Stroom
2443,Zuil 2835 Stroom
2445,Zuil 2836 Stroom
2447,Zuil 2837 Stroom
2449,Zuil 2838 Stroom
2451,Zuil 2839 Stroom
2453,Zuil 2840 Stroom
2455,Zuil 2841 Stroom
2457,Zuil 2842 Stroom
2459,Zuil 2843 Stroom
2461,Zuil 2844 Stroom
2463,Zuil 2845 Stroom
2465,Zuil 2846 Stroom
2467,Zuil 2847 Stroom
2469,Zuil 2848 Stroom
2475,Verblijf
2477,Verblijf
2479,Verblijf
2481,Verblijf
2483,Verblijf
2485,Verblijf
2487,Verblijf
2489,Verblijf
2491,Verblijf
2493,Verblijf
2495,Verblijf
2497,Verblijf
2499,Verblijf
2501,2602 Wasserette
2503,BOX 2603
2507,BOX 2604
2509,Involtum verblijfszone 6608
2511,Kast 28065
2513,Zuil 2857 Stroom
2515,Zuil 2858 Stroom
2517,Verblijfszone
2519,URU 3000 Boot
2521,2605 Wasserette
2523,2606 Wasserette
2525,Zuil 2859 Stroom
2527,Zuil 2860 Stroom
2529,Zuil 2861 Stroom
2531,Zuil 2862 Stroom
2533,Zuil 2863 Stroom
2535,Zuil 2864 Stroom
2537,Zuil 2865 Stroom
2539,Zuil 2866 Stroom
2541,Zuil 2867 Stroom
2543,Zuil 2868 Stroom
2547,Verblijfszone
2549,Zuil 2869 Stroom
2551,Zuil 2870 Stroom
2553,Zuil 2871 Stroom
2555,Zuil 2872 Stroom
2556,Port Entrepot 10
2557,Port Entrepot 16
2558,Port Entrepot 18
2559,Port Entrepot 20
2560,Port Entrepot 24
2561,Port Entrepot 40
2562,Kast 1090 oud
2563,Kast 1091 oud
2564,Kast 1092 oud
2566,Harderwijk
2567,Waterfront K1
2568,Waterfront K2
2569,Waterfront K9
2570,Waterfront Z03
2571,Waterfront Z08
2573,Waterfront Z11
2574,Waterfront K3
2575,Waterfront K4
2576,Waterfront K5
2577,Waterfront K6
2578,Waterfront K7
2579,Waterfront K8
2580,Gemeentehaven Harderwijk
2581,Zwolle - Havens
2582,Haven Maagjesbolwerk
2583,Zuil 2895 - Z1
2584,Zuil 2896 - Z2
2585,Zuil 2897 - Z3
2586,Zuil 2898 - Z4
2587,Zuil 2899 - Z5
2588,Zuil 2900 - Z6
2589,Zuil 2901 - Z7
2590,Zuil 2902 - Z8
2591,Zuil 2903 - Z9
2592,Zuil 2904 - W1
2593,Zuil 2905 - W2
2594,Zuil 2906 - W3
2595,Box 80801
2596,Unit 75103
2597,Haven Buitenkant
2598,Unit 75144
2599,Unit 75149
2600,_Demo - YoreON
2601,Unit 75108
2602,Unit 75104
2603,VERVALLEN Unit 80801
2604,VERVALLEN Unit 80841
2605,Unit 80811
2606,Unit 80829
2607,VERVALLEN Unit 80804
2608,Bergambacht
2609,Watertappunt
2610,Rotterdam - Statenweg
2611,Stadswonen - Wasserette
2613,Slot Zuylen
2614,Verblijf
2615,Unit 80838
2616,Unit 80803
2617,Unit 80848
2618,Unit 53127 (was 80822)
2619,Unit 80817
2620,Milsbeek
2621,Camperplaats De Diepen
2622,Verblijfszone
2623,Gennep
2624,Camperplaats Martinushof
2625,Verblijfszone
2626,Eiland van Maurik
2627,Wasserette Eiland van Maurik
2628,Breda - EasyStreet
2629,Miele Laundry Boutique
2630,Rotterdam - EUR Woudestein
2631,SSH Hatta - Miele Laundry Boutique
2632,Amsterdam - Vondelpark Area
2633,Studio 1 (Noord) - Miele Laundry Boutique
2634,Unit 80828
2636,Unit 80823
2637,Unit 80830
2638,Unit 80847
2639,Unit 80825
2640,Verblijf - Waterfront
2641,verblijf
2642,verblijf
2643,Hengelo
2644,Haven Ketelmakerij
2645,Haarlem Walstroom
2646,Beroepsvaart
2647,Maassluis - Walstroom
2648,Haven
2649,Nijmegen
2650,Waalkade
2651,Wageningen
2652,Rijnhaven
2653,[stopped] Doesburg
2654,Koninklijke Rotra
2655,De Leijen
2656,Les Andelys
2657,Port (hors service)
2658,Caudebec
2659,Port
2660,Engers
2661,Hafen
2662,Volkach-Astheim
2663,Hafen
2664,Hoorn
2665,Beroepshaven
2666,Den Haag
2667,Scheveningen
2668,Veere
2669,Cruiseterminal
2670,Eindhoven (vervallen)
2671,Beatrixkade
2672,Den Oever
2673,Haven Den Oever
2674,Enkhuizen
2675,Haven
2676,S-Hertogenbosch
2677,kade Engelen
2678,Huizen - Haven
2679,Haven Mastspoor
2680,Moerdijk
2681,Port of Moerdijk
2682,Straubing
2683,Hafen
2684,Traben-Trarbach
2685,Hafen
2686,[stopped] Mobiele stroom
2687,Nijmegen
2688,_Demo - Walstroom
2689,Walstroom Oss
2690,Baas
2691,Submeters
2692,Arnhem Marktstroom
2693,Park Immerloo
2694,Angerestein
2695,Dobbelaan Leidschendam
2696,Dobbelaan / Burg. Sweenslaan
2698,Dr. Ingenhouszplein
2699,Chasseveld
2700,_Demo - EasyPowerSupply
2701,Demo
2702,Den Haag Prins Hendrikplein
2703,Lange Voorhout
2704,Stevinstraat
2705,S-Hertogenbosch
2706,Markt - Parade
3000,Kast 350
3001,Kast 351
3002,Kast 352
4000,Kast 353
4001,Kast 354
5039,Kast 355
5041,Kast 356
5045,Kast 357
5053,Kast 358
5193,kast 401
5195,kast 402
5299,Kast 250
5301,Kast 251
5303,Kast 252
5309,Kast 365
5311,Kast 366
5313,Kast 367
5315,Kast 488
5317,Kast 487
5325,Kast 489
5327,Kast 490
5349,Kast 690
5351,Kast 691
5353,Kast 254
6007,Kast 253
6009,Kast 900
6011,Kast 901
6013,Kast 800 (Hors Service)
6015,Kast 801 (Hors Service)
6017,Kast 950
6019,Kast 951
6021,Kast 372
6027,Kast 491
6029,Kast 692
6031,Kast 693
6035,Kast 2700 (Arnhem)
6041,Kast 902
6045,Kast 255
6047,Kast 256
6051,Kast 257
6055,Kast 070 Haven 3
6057,Kast 0732 (Den Bosch)
6059,Kast 071
6061,Kast 072
6063,Kast 073
6065,Kast 074
6067,Kast 075
6069,Kast 076
6071,Kast 0733 (Den Bosch)
6073,Kast 0734 (Den Bosch)
6075,Kast 0735 (Den Bosch)
6077,Kast 0736 (Den Bosch)
6079,Kast 0737 (Den Bosch)
6081,Kast 0260 (Arnhem)
6083,Kast 0261 (Arnhem)
6085,Kast 698
6087,Kast 699
6089,Schränke 9051
6091,Schränke 9061
6093,Kast 904
6095,Kast 903
6119,Baas - Submeters
6121,Kast 0752 (Breda)
6125,Kast 802
6127,Kast 803
6129,Kast 697
6135,Kast 258
6137,Kast 259
6139,Kast 079
6141,Kast 077
6143,Kast 200
6145,Kast 201
6149,Lange Voorhout 07001-07021
6151,Lange Voorhout 07031-07047
6153,Kast 470
6155,Kast 471
6157,Kast 472
6159,URU 30001 (oud)
6161,Kast 475
6162,Stevinstr. 07051-07056
6163,Stevinstr. 07061-07072
6164,Stevinstr. 07101-07112
6165,Stevinstr. 07081-07092
6167,Kast 7113 (Leidschendam)
6168,Kast 7114 (Breda)
6169,Kast 7115 (Breda)
6170,Kast 7116 (Breda)
6171,Kast K12
6172,Kast K13
6173,Kast K11
6174,Kast 637
6175,Kast 694
6176,Kast 695
6177,Kast 6371
6179,Kast 957
6180,Kast 958
6181,Kast 956
6182,Kast 9590-9593 Cruisevaart
6183,Kast 9594-9595 Cruisevaart
6184,Kast 9596-9599 Cruisevaart
6185,Ombouw DWTA
6186,verblijf
6187,PTB Braunschweig
6188,Kast 0755
6189,Zuil 28520 Stroom
6190,Zuil 28526 Stroom
6191,Kast WT4
6194,Kast WT3
6195,Kast WT5
6196,Kast WT7
6197,Kast WT6
6198,Kast WT8
6199,Kast WT9
6200,Kast WT10
6201,Kast 955
6202,Ypenburg 71153-71160
6203,Meer (Joost)
6204,IDS Truckstop Joost
6205,Kast Truckstop
6206,Ieper
6207,Lineage Logistics Ieper (private parking)
6208,Kast
6209,Sint-Katelijne-Waver
6210,Interim Cargo (private parking)
6211,Kast
6212,Zolder
6213,Truckstop 26bis Zolder
6214,Kast
6215,Bad Rappenau
6216,24 Autohof Bad Rappenau
6217,Kast
6218,Homberg (Knullwald)
6219,24 Autohof Homberg
6220,Kast
6221,Mühldorf (Erharting)
6222,24 Autohof Mühldorf
6223,Kast
6224,Neuberg (Erlensee)
6225,24 Autohof Neuberg
6226,Kast
6227,Rheinböllen
6228,Aral Autohof Elbert
6229,Kast
6230,Neuhaus
6231,Autohof Bergler
6232,Kast
6233,Geiselwind
6234,Autohof Strohofer Geiselwind
6235,Kast
6236,Crailsheim-Satteldorf
6237,Euro Rastpark Crailsheim-Satteldorf
6238,Kast
6239,Guxhagen
6240,Euro Rastpark Guxhagen
6241,Kast
6242,Jettingen-Scheppach
6243,Euro Rastpark Jettingen-Scheppach
6244,Kast
6245,Lippetal
6246,Euro Rastpark Lippetal
6247,Kast
6248,Regensburg
6249,Euro Rastpark Regensburg
6250,Kast
6251,Schweitenkirchen
6252,Euro Rastpark Schweitenkirchen
6253,Kast
6254,Theeßen
6255,Euro Rastpark Theeßen
6256,Kast
6257,Waldlaubersheim
6258,Euro Rastpark Waldlaubersheim
6259,Kast
6260,Werneck
6261,Euro Rastpark Werneck
6262,Kast
6263,Lauenau
6264,MAXI Autohof Lauenau
6265,Kast
