LOCATION,NAME
6613,Kast 6472
6614,Kast 6476
6615,Kast 6478
6618,Unit 91208
6619,Unit 84735
6620,Unit 91243
6621,Unit 91242
6622,Unit 91221
6623,Box 1000001
6624,Unit 91244
6625,Unit 91240
6626,Unit 91239
6627,Unit 84731
6628,Unit 84719
6629,Kast 8504 Links
6630,Kast 8505 Rechts
6631,Kast 8506 Enkel
6632,Marsum
6633,Passantenhaven Marsum
6634,Kast 26366
6635,Kast 26372
6636,Kast 71320
6637,Kast Hema
6638,Kast Rituals
6639,Kast 71326
6640,Kast Piazza rechts
6641,Kast Bakkertje Bol
6642,Kast Piazza links
6643,Kast Mac Donalds
6644,Kast Bijenkorf links
6645,[VERVALLEN]
6646,Demo BeNEd
6647,Harderwijk - Oude Vissershaven
6648,Verblijf - Oude Vissershaven
6649,K1 6521
6650,Jachthaven De Leijen
6651,Osmose watertappunt
6652,Coneygarth
6653,K2 91216
6654,K3 6529
6655,Tussenmeters April
6656,Den Oever
6657,Leeg
6658,Verblijf
6659,[stopped] Amersfoort - Gebouw IJselberch
6660,Wasserette IJselberch
6661,Extra meters
6662,Andijk - Proefpolder 4
6663,Wasserette Het Grootslag
6665,Gent - Testlocatie
6666,Kast 1 Test
6667,K1: 91215
6668,K2: 91213
6669,Plezierhaven
6670,Involtum AanUit.net test
6671,Kast
6672,Kast
6673,NVO Transport (private parking)
6674,Heksenwiel
6675,Eindhoven - Residence32 Vestdijk
6676,Wasserette Residence32
6677,Niftrik
6678,Jachthaven de Batavier
6679,Verblijf
6680,Kast 6544
6681,Kast 6552
6682,Zwolle
6683,KVK1
6684,KVK1
6685,Rijnlaan
6686,VK2
6687,VK2-1
6688,VK3
6689,VK3
6690,URU 91520
6691,Kast 91523
6693,Bohlweg - Waschkeller
6694,Eindhoven - Boutenslaan 195
6695,Rapelenburg - Miele Laundry Boutique
6696,Loswal K1
6699,S020a en b Kelderwindkade (zuil) (pleziervaart)Kelderwindkade
6700,Ede
6701,Raadhuisplein
6702,Kast 1
6704,Involtum - Rotterdam
6705,Laadpaal 1
6706,Zuil 4917
6707,Kast 73513
6708,Kast 73519
6709,Kast 73525
6710,Kast 6385
6711,Unit 92018
6712,Box 92013
6713,Unit 92019
6714,Unit 92001
6715,Unit 92008
6716,Unit 92002
6717,Box 203229
6718,Cruquiuskade
6719,Verblijf
6720,WallBox 32069
6721,Zaandam
6722,Oostkade Camperterrein
6723,Camperterrein 2
6724,Prins Hendrikplein
6725,Oostkade Camperterrein
6726,Waddenhaven Den Oever
6727,Zuiderstrand Camperterrein
6728,Ottobrunn
6729,Papp Logistics (private parking)
6730,Amsterdam - Citadines Sloterdijk Station
6731,Launderette Citadines Sloterdijk
6732,Doetinchem
6733,Camperplaats Varkensweide
6734,Zuil electra
6735,Zuil tapwaterpunt
6736,Zundert
6737,Markt Zundert
6738,18 Septemberplein
6739,Kast Mini Blob
6740,Kast Bijenkorf rechts
6741,Bergvliet Huisjes
6742,Vakantiepark
6743,Huisje nr 06
6744,Huisje nr 57
6745,Huisje nr 01
6746,Huisje nr 17
6747,Huisje nr 22
6748,Huisje nr 33
6749,Huisje nr 16
6750,Huisje nr 44
6751,Huisje nr 04
6752,Huisje nr 45
6753,Huisje nr 20
6754,Huisje nr 47
6755,Kast 1: 92005
6756,Kast 2: 92037
6757,Kast 3: 92023
6758,Kast 4: 92028
6759,Kast 5: 92022
6760,Kast 6: 92024
6761,Großer Bruch - Waschkeller
6762,Clausthal Zellerfeld - Großer Bruch 23
6763,Den Haag - Fokkerhaven
6764,Service
6765,Nissewaard
6766,Park Vogelenzang
6767,Zeeland
6768,Heische Tip
6769,Verblijf
6770,Camperplaats de Batavier
6771,Verblijf
6773,DeHolland - Wasserette
6774,Eindhoven - Beukenlaan 143
6775,Zuil 26455 (nieuw)
6776,Box 94001
6777,Box 92035
6778,Box 92044
6779,Box 92030
6780,Box 94040
6781,Box 92047
6782,Box 92034
6783,Box 92045
6784,Box 92036 + RAD 2
6785,Box 92046
6786,Box 92050
6787,Heerlen - Putgraaf
6788,Groene Boord - Miele Laundry Boutique
6789,Stock Miele DE production 2020
6790,Venlo - Franciscanenstraat
6791,Brixhousing - Miele Laundry Boutique
6793,CSA - Strasskirchen
6794,Zuil 53146
6795,Nijmegen
6796,Kanaalhaven
6797,Kast 6561
6798,Kast 6567
6799,Zuil 26160 Pomp
6800,München - Motorstraße 32d
6801,Plug & Stay Munich - Waschkeller
6802,Lommel
6803,FrigoLogix
6804,Kast 92039
6805,Box 92831
6806,Box 92822
6807,Box 92845
6808,Box 92839
6809,Box 92833
6810,Box 92843
6811,Box 92816
6812,Box 92838
6813,Box 92846
6814,Box 92827
6815,Easy Power Supply
6816,Sportterrein
6817,Prinsenbeek 1-2
6818,Defect URU 19380009 Prinsenbeek
6819,Prinsenbeek 1-1
6820,Kast 73537
6821,Frits Philips
6822,Box 92832
6823,Box 92844
6824,Box 92834
6825,Box 92026
6826,Box 92842
6827,Box 92836
6828,Box 92850
6829,Box 92004
6830,Box 92814
6831,Box 92841
6832,Oosterhout
6833,Wilhelminakanaal
6834,Kast 6291
6835,Kast 6293
6836,Kast 6295
6837,Kast 6297
6838,Dordrecht - Kilwijkstraat 30
6839,Ashford (Kent)
6840,Ashford International Truckstop
6841,box 92048
6842,box 84732
6843,box 92027
6844,Neue Schränke (TEST)
6845,Schränke 6299
6846,Schränke 6300
6847,Schränke 6301
6848,Schränke 6302
6849,Schränke 6303
6850,Schränke 6304
6851,Sportterrein
6852,Kast 73565
6853,Kast 73572
6854,Kast 73579
6855,Kast 73586
6856,Kast 73593
6857,_Demo Locations_
6858,Rotterdam - Demo Location
6859,Box 83404 (URU 202229)
6861,Involtum - Rotterdam
6862,Verblijf
6864,Box 220640
6865,Box 92829
6866,Box 92802
6867,Box 92812
6868,Box 92811
6869,Box 92810
6870,Box 92806
6871,Box 92804
6872,Box 92809
6873,Box 92808
6874,Box 92805
6875,Box 92807
6876,Box 92813
6877,Stock
6878,Laadpaal 2
6879,Free - connector 66404
6880,Verblijf 66405
6881,Kesselhof (opening soonl)
6882,Kesselhof (opening soon)
6883,Kast
6884,Saen 1299 (Demo)
6886,Gorinchem
6887,Lingehaven
6888,Lingehaven 1
6889,Lingehaven 2
6890,Lingehaven 3
6891,Lingehaven 4
6892,Lingehaven 5
6893,Lingehaven 6
6894,Appeldijk 1
6895,Appeldijk 2
6896,Appeldijk 3
6897,Appeldijk 4
6898,Havendijk 1
6899,Havendijk 2
6900,Havendijk 3
6901,Havendijk 4
6902,Overige diensten
6903,Markt Prinsenbeek
6904,Demo unit 2.0
6905,'t Gouwe Pleintje
6906,Defect
6907,Overig
6908,Zaandam
6909,Seijsener
6910,Laadpaal 19380016
6911,Laadpaal 19380017
6912,Huisje nr 28
6913,Huisje nr 19
6914,Huisje nr 18
6915,Huisje nr 40
6916,Huisje nr 30
6917,Huisje nr 32
6918,Huisje nr 35
6919,Huisje nr 36
6920,Huisje nr 37
6921,Huisje nr 38
6922,Huisje nr 41
6923,Huisje nr 43
6925,Regensburg - Johann-Hösl-Straße 6
6926,Salzburg - Demo Location
6927,Amsterdam - Rijswijkstraat
6928,2nd Home - Wasserette
6929,Dresden - Elisenstraße 23
6930,Lehrte - Demo Location
6931,K10
6932,K11
6933,K14
6934,K13
6935,S020c Kelderwindkade (zuil) (pleziervaart) Kelderwindkade Oskam
6936,Nijkerk
6937,Camperplaats Watergoor
6938,Kast
6939,S021a zuil (verdeelkast S021) Spaarne (pleziervaart) Kelderwindkade van Gelder 1
6940,S021b (zuil met verdeelkast S021) Spaarne (pleziervaart) Kelderwindkade van Gelder 2
6941,K03
6942,K07
6943,K01
6944,K04
6945,K15
6946,K16
6947,K19
6948,Abingdon - Demo Location
6949,Düsseldorf - Hafen
6950,Scholl
6951,Box 6299
6952,Box 6300
6953,Box 6301
6954,Box 6302
6955,Box 6303
6956,Box 6304
6957,DWTA 1
6958,DWTA 9
6959,DWTA 8
6960,DWTA 5
6961,K08 DWTA
6962,DWTA 2
6963,DWTA 4
6964,DWTA 7
6965,DWTA 6
6966,DWTA 3
6967,DWTA 12
6968,DWTA 55
6969,DTWA 729
6970,Zürich - Demo Location
6971,Amsterdam - Sixhavenweg 15
6972,Sixhaven Marina - Laundry Room WVDS
6973,Gemeente Geertuidenberg
6974,Donge
6975,Kast
6976,Den Haag
6977,URU 93948
6978,Steinfurt - Bahnhofstraße
6979,Bahnhofstraße 46 - Waschraum
6980,Wiesbaden - Wilhelmstraße 52 e-f
6981,Vier Jahreszeiten - Waschkeller Haus 2
6982,Bahnhofstraße 46a - Waschraum
6983,Münster - Mondstraße 94
6984,Waschraum
6985,Meer Shell
6986,Truck Shell Meer
6987,Zuil 32067
6988,Zuil 32068
6989,Hamburg - Demo Location
6990,Groningen - Hoogeweg 1
6991,Xior - Launderette
6992,Swissbau - Demo Location
6993,Schepencarrousel
6994,Halluin (under construction)
6995,Truckstop Halluin
6996,Wallbox 1
6997,Wallbox 2
6998,Wallbox 3
6999,Access code
7000,Den Haag - Medemblikstraat 275
7001,Greystar - Miele Laundry Boutique
7002,Wien - Demo Location
7004,Involtum - test Amsterdam
7005,opleidingsschip
7006,K02
7007,K05
7008,K06
7009,K09
7010,K12
7011,K17
7012,K18
7013,Gütersloh - Demo Location
7014,Laadpaal 19400002
7015,Laadpaal 19400004
7016,Dummy 2
7017,Schleuse Munster UW
7018,Schleuse Munster UW
7019,Kast K41 Links
7020,Menen Camperplaats
7021,Stroomkast
7022,Sluizenkaai
7023,Ronse
7024,Ronse Camperplaats
7025,Kast 1
7026,Blankenberge Floreal
7027,Camperpark Blankenberge
7028,Kast 1
7029,Kast K41 Rechts
7030,Box 95044
7031,Box 95035
7032,Box 95026
7033,Box 95036
7034,Box 95033
7035,Box 95049
7036,Box 95042
7037,Box 95023
7038,Box 95046
7039,Box 95043
7040,Box 95050
7041,Box 95022
7042,Boodschappensteiger 1
7043,Dorsten
7044,Dorsten
7045,Kast 8611 Links
7046,Kast 8612 Rechts
7047,Kast 8609 Links
7048,Kast 8610 Rechts
7049,Boodschappensteiger 2
7050,Boodschappensteiger 3
7051,Boodschappensteiger 4
7052,Boodschappensteiger 5
7053,Boodschappensteiger 6
7054,Bielefeld - Werther Straße 144
7055,Werther Straße 144 - Waschkeller
7056,Kast 8615 Links
7057,Kast 8616 Rechts
7058,Oslo - Demo Location
7059,Box 94016
7060,Box 94030
7061,Box 94027
7062,Box 94007
7063,Box 94004
7064,Box 94002
7065,Box 94006
7066,Box 94034
7067,Box 94026
7068,Box 94005
7069,Kast 8613 Links
7070,Kast 8614 Rechts
7071,Kast 8617 Links
7072,Kast 8618 Rechts
7073,Kast 8619 Links
7074,Kast 8620 Rechts
7075,Lesce - Šobčeva cesta 25
7076,Camping Sobec
7077,Krefeld - Leyentalstraße 103DE
7078,Waschkeller Untergeschoss
7079,Box 80804
7080,Bad Nauheim - Ludwigstraße 25-31
7081,Reha am Sprudelhof - Waschküche
7082,Frankfurt - Prießnitzstraße 11
7083,littlebighomes - Waschkeller
7084,Kast WSK 1
7085,Meter 6330
7086,Meter 6331
7087,Meter 6332
7088,Meter 6333
7089,Roermond - Kapellerpoort 1
7090,Nero - Miele Laundry Boutique
7092,Sint Bavostraat
7093,Box 19380018
7094,Kast 8621 Links
7095,Kast 8622 Rechts
7096,Datteln
7097,Datteln
7098,K73 Links
7099,K73 Rechts
7100,Almere Stad
7101,Haven Olstgracht (vaste ligplaatsen)
7102,DWTA 26179
7103,DWTA 26180
7104,Hengelohaven (vaste ligplaatsen)
7105,DWTA 27984
7106,Almere Passanten ligplaatsen
7107,DWTA 27985
7108,DWTA 27986
7109,Bergen - Demo Location
7110,Rum - Demo Location
7111,Leiden
7112,De Haven
7113,Kast 29271 De Haven
7114,Kast 29277 De Haven
7115,Kast 29283 De Haven
7116,Kast 29289 De Haven
7117,DWTA 29358 De Haven
7118,DWTA 29359 De Haven
7119,DWTA 29360 De Haven
7120,Oude Herengracht
7121,Kast 29295 Oude Herengracht
7122,Kast 29301 Oude Herengracht
7123,Riesenbeck Linkes Ufer
7124,Riesenbeck Linkes Ufer
7125,K45
7126,K46
7127,Kast 8635 Enkel
7128,K74 Links
7129,K74 Rechts
7130,K75 Links
7131,K75 Rechts
7132,Deventer
7133,Pothoofd 1
7134,Kast 1
7135,K76 Links
7136,K76 Rechts
7137,K77 Links
7138,K77 Rechts
7139,K78 Links
7140,K78 Rechts
7141,Huisje nr 03C44
7142,K1
7143,Hamburg - Lüneburger Straße 7
7144,Kast 29307 De Haven
7145,Kast 29313 De Haven
7146,Kast 29319 De Haven
7147,Kast 29324 De Haven
7148,Kast 29326 De Haven
7149,Kast 29328 De Haven
7150,Kast 29330 De Haven
7151,Leiden charters
7152,Zijlsingel
7153,Kast 6321
7154,Kast 6323
7155,Kast 6325
7156,Kast 6327
7157,Puch - Urstein Süd 3-5
7158,Urstein - Waschkeller
7159,Düsseldorf - Mindener Straße 54
7160,Konstanz - Jacob-Burckhardt-Str. 35
7161,Sonnenbühl Ost Gruppenhaus Haus A - Waschraum
7162,Hamburg - Am Felde 58
7163,STUART Student Apartments - Waschraum
7164,Hamburg - Lüneburger Straße 7
7165,Rotunda Westfalica
7166,Lüneburger Straße 7 - Wachkeller
7167,Schöffenhöfe - Waschkeller
7168,STUART Student Apartments - Waschraum
7169,Studentinord - Kaialundveien vaskeri
7170,Veenendaal - Vijftien Morgen 9
7171,Miele Laundry Boutique
7172,Lyon (service fee)
7173,RMCS - Spalding
7174,Unit 20100019
7175,Terneuzen
7176,Axel
7177,Westdorpe
7178,Kinderdijk Camperplaats
7179,Camperplaats de Kreek
7180,"Noordelijke Jachthaven, Rooseveltlaan"
7181,Verblijf
7182,Camperplaats Bernhardstraat
7183,Verblijf
7184,Woerden
7185,La Fontaineplein
7186,Snel & Polanen
7187,Exercitieveld
7188,URU 2020100017
7189,URU 2020100018
7190,Hamburg - Schloßstraße 107
7191,Achtmaal
7192,Rijsbergen
7193,Prinsenbeek
7194,Venlo - Kaldenkerkerweg/Heutzstraat
7195,Brixhousing - Miele Laundry Boutique
7196,Urkerbos
7197,Camperplaats Urkerbos
7198,K1
7199,Verblijf
7200,Verblijf
7201,Box 200717
7202,Box 200718
7203,Box 200725
7204,Box 200724
7205,Box 200723
7206,Box 200701
7207,Box 94047
7208,Box 200720
7209,Box 200716
7210,Box 200726
7211,Box 200719
7212,Box 200728
7213,Vught
7214,Orange Power Systems
7215,vrij te gebruiken
7216,Vianen passantenhaven
7217,Kanaalweg Vianen
7218,Kast 29401
7219,Kast 29407
7220,Kast 29413
7221,Kast 29419
7222,Kast 29425
7223,Kast 29431
7224,K2
7225,K3
7226,Havenkade
7227,K1 Havenkade
7228,K2 Havenkade
7229,K3 Havenkade
7230,K4 Havenkade
7231,DWTA Havenkade
7232,Verblijf
7233,K1
7234,K2
7235,K8
7236,K9
7237,K2
7238,K3
7239,Düsseldorf - Mindener Straße 60
7240,Schöffenhöfe - Waschkeller
7241,Waschkeller
7242,Uithoorn
7243,Aeme-Stelle Passantenhaven
7244,Verblijf
7245,K1
7246,DWTA 1
7247,Arnhem - Amsterdamseweg 208
7248,Miele Laundry Boutique
7249,K2
7250,K3
7251,K4
7252,K5
7253,K6
7254,K7
7255,K8
7256,K9
7257,DWTA 2
7258,DWTA 3
7259,DWTA 4
7260,DWTA 5
7261,Box 201010
7262,Box 200711
7263,Box 201004
7264,Box 201003
7265,Box 201001
7266,Box 201039
7267,Box 201035
7268,Box 201002
7269,Box 201034
7270,Box 201007
7271,Box 201037
7272,Box 201005
7273,2020100012-11015 Wilhelminaplein
7274,Box 201244
7275,Box 201235
7276,Box 201237
7277,Box 201238
7278,Box 201240
7279,Box 201247
7280,Box 201249
7281,Box 201248
7282,Box 201239
7283,Box 201246
7284,Box 201234
7285,Box 201243
7286,Box 201232
7287,Box 201245
7288,Box 201242
7289,Box 201241
7290,Box 203221
7291,Oegstgeest
7292,Markt
7293,Lijtweg/marktplein
7294,Boerhaveplein
7295,Kempenaarstraat
7296,Lijtweg/Rabobank
7297,Lijtweg
7298,Woenselse Markt
7299,Lijtweg winkelcentrum
7300,Kast 01
7301,Kast 01A
7302,Kast 02
7303,Kast 03
7304,Kast 04
7305,Kast 05
7306,Kast 06
7307,Kast 07
7308,Kast 07A
7309,Kast 08
7310,Kast 09
7311,Kast 10
7312,Kast 11
7313,Kast 12
7314,Kast 13
7315,Kast 13A
7316,Lijtweg/marktplein
7317,Waschkeller
7318,DWTA
7319,Verblijf
7320,Berlin - Trautenauer Str. 13
7321,Weissewanne - Waschkeller
7322,Venlo - Peperstraat 8
7323,Box 201201
7324,Kast 29260
7325,Box 201202
7326,Box 201203
7327,Braunschweig
7328,PTB
7329,Ankerpark
7330,Kast Ankerpark
7331,Utrecht - Van Heuven Goedhartlaan 1
7332,Greystar Hospital - Launderette
7333,Utrecht - Van Heuven Goedhartlaan 1
7334,Greystar Tower - Launderette
7335,Box 201204
7336,Emmerich am Rhein
7337,Emmerich am Rhein
7338,K59 Links
7339,K59 Rechts
7340,Box 201206
7341,Box 201207
7342,Box 201209
7343,Box 201210
7344,Box 201211
7345,Box 201212
7346,Box 201214
7347,Box 201215
7348,Verblijf
7349,Verblijf
7350,Box 201218
7351,Box 201219
7352,Box 201220
7353,Box 201221
7354,Box 201222
7355,Box 201223
7356,Box 201224
7357,Vught
7358,Oudega
7359,Hooidammen - Headammen
7360,Verblijf
7361,K60 Links
7362,K60 Rechts
7363,K61 Links
7364,K61 Rechts
7365,Terschelling
7366,Noord-Sleen
7367,Camperplaats Wielens
7368,Verblijf
7369,DWTA en Stroom
7370,Stroom 1
7371,Stroom 2
7372,Graz - Finkerngasse 4
7373,Waschkeller
7374,Voerde Friedrichsfeld
7375,Voerde Friedrichsfeld
7376,Kast 64 Links
7377,Kast 64 Rechts
7378,Kast 65 Links
7379,Kast 65 Rechts
7380,Washok
7381,Roosendaal
7382,Roosendaalse Vliet
7383,Kast 28021
7384,Kast 28037
7385,Kast 28033
7386,Box 201205
7387,Box 201208
7388,Box 201208
7389,Box 201216
7390,Box 201217
7391,Box 201225
7392,Kast 62 Rechts
7393,Kast 63 Links
7394,Kast 63 Rechts
7395,Kast 62 Links
7396,Uitdam Europarcs
7397,Jachthaven Resort Poort van Amsterdam
7398,Verblijf
7399,Wien - Bendlgasse 10-12
7400,CLEAN KOKOS
7401,Oslo - Skovveien 6
7402,Maastricht
7403,Noorder Brug
7404,Kast 1
7405,Haven Terschelling
7406,Kast S1-1
7407,Kast S2
7408,Kast S3-1
7409,Kast S4
7410,Kast S5-1
7411,Steiger 1 Kast 6
7412,Steiger 1 Kast 7
7413,Kooijhaven
7414,Altenrheine OW Schleuse
7415,Altenrheine OW Schleuse
7416,Kast 57 Links
7417,Kast 57 Rechts
7418,Kast 58 Links
7419,Kast 58 Rechts
7420,Kast K30 Links
7421,Kast K30 Rechts
7422,Kast K31 Links
7423,Kast K31 Rechts
7424,Huisje nr 12
7425,Huisje nr 46
7426,Huisje nr 54
7427,Huisje nr 56
7428,Nijmegen
7429,WC Meijhorst
7430,Kast 1
7431,Kast 2
7432,Watertappunt
7433,Campers Caravans Resort Poort van Amsterdam
7434,Verblijf
7435,Tenten Resort Poort van Amsterdam
7436,Verblijf
7437,Edam
7438,Edam Keetzijde
7439,Zuil 25017
7440,Zuil 25023
7441,Water 25029
7442,Woerden
7443,Stadshaven Woerden
7444,Zuil 25030
7445,Zuil 25034
7446,Water 25038
7447,Verblijf
7448,Water
7449,Stroompunten van vaste ligplaatsen
7450,Zagreb - Odranska 1a
7451,Zagreb 1
7452,Kast 25223
7453,Kast 25229
7454,Huisje nr 15
7455,Rotterdam - Emmahuis
7456,Havensteder - Miele Laundry Boutique
7457,Almere Havenkom
7458,Camperplaats Harderwijk
7459,Zonneweide
7460,Bergeshovede
7461,Kast K43
7462,Kast 55 Links
7463,Kast 55 Rechts
7464,Kast 54 Links
7465,Kast 54 Rechts
7466,Kast K44
7467,Rovereto
7468,Rovereto Sud - Autostrada del Brennero
7469,Kast 1
7470,Kast 2
7471,Kast 3
7472,Kast 4
7473,Kast 5
7474,Box 201720
7476,Kast S3-2
7477,Kast S5-2
7478,Steiger 1 Kast 8
7479,Steiger 1 Kast 9
7480,Kast DS
7481,Kast W1
7482,Kast W2
7483,Kast W3
7484,Kast W4
7485,Kast W5
7486,Kast W1 LL Kade
7487,Kast W2 LL Kade
7488,Kast W6
7489,Steiger 2 Kast 1
7490,Steiger 2 Kast 2
7491,Steiger 2 Kast 3
7492,Steiger 2 Kast 4
7493,Steiger 2 Kast 5
7494,Laad en loskade Kast 1
7495,Laad en loskade Kast 2
7496,Laad en loskade Kast 3
7497,Amsterdam - Markelerbergpad 5
7498,Laundrette - OurDomain Amsterdam South East
7499,_to be deleted
7500,_to be deleted
7501,Mo i Rana - Kaialundveien 24
7502,Capelle aan den IJssel - Roer
7503,Nautilus laundry room
7504,Ulm - Gutenbergstraße 6
7505,Waschkeller (F)
7506,Ulm - Heidenheimer Straße 78
7507,Location Update: Please re-enter machine number in settings -> account -> my preferred laundrette
7508,Waschkeller
7509,Ulm - Frauensteige 2
7510,Waschkeller
7511,Ulm - Syrlinstraße 8
7512,Waschkeller
7513,Ulm - Kelternweg 38
7514,Waschkeller
7515,Biberach - Kapuzinerstr. 11 
7516,Waschkeller
7518,Bielefeld - Großdornberger Str. 2
7519,Rødekro - Søvænget 93
7520,Domea Søvænget
7521,Risskov - Sletterhagevej 23 - 25 - 27
7522,nr. 30481
7523,Lauwersoog Haven
7524,NG Shipyard Lauwersoog
7525,Kast 1
7526,Kast 2
7527,Kast 3
7528,Kast 4
7529,Kast 5
7530,Rødekro - Vestergade 3
7531,Domea Vestergade
7532,Aachen - Brüggemannstrasse
7533,Aachen Brüggemannstrasse
7534,bielefeld test
7535,Bielefeld test
7536,Hamburg - Sedanstrasse
7537,Waschkeller
7538,Box 201736
7539,Box 201740
7540,Box 201741
7541,Box 201744
7542,Box 201746
7543,Box 201748
7544,Box 201749
7545,Box 201750
7546,Box 202201
7547,Box 202207
7548,Box 202209
7549,Kast S1-2
7550,Kast S3-3
7551,Utrecht
7552,Haven
7553,Kast 1
7554,Kast 2
7555,Kast 3
7556,Kast 4
7557,Kast 5
7558,Kast 6
7559,Kast 7
7560,Freiburg - Charlottenburger Str. 18
7561,Campus II - Waschkeller
7562,abonnements fee
7563,_Demo - Marktstroom
7564,Zonhoven Jansen
7565,URU+ 19380015
7566,Zwolle - SSH
7567,MLB Wasserette
7568,Amsterdam - Nieuwe Osdorpergracht
7569,The Cohesion Don Bosco
7570,Kast WSK 2
7571,Kast WSK 4
7572,Kast WSK 5
7573,K3
7574,K4
7575,K5
7576,K6 RH10000
7577,K6 atlantic
7578,K7
7579,K10
7580,K11
7581,K13
7582,Nijverheidskade
7583,Trondheim - Olav Tryggvasons gate 5
7585,AØF folketshus - vaskerom 5. og 6. etg.
7587,K1
7588,Trelleborg
7589,Freight Safe security box
7590,Box 202247
7591,Box 202248
7592,Box 202249
7593,Box 202250
7594,Box 202430
7595,Box 202431
7596,Box 202435
7597,Box 202438
7598,Box 202444
7599,Box 202445
7600,Box 202447
7601,Box 202450
7602,Box 202218
7603,Box 212634 (was Box/URU 202229)
7604,Box 202231
7605,Box 202232
7606,Box 202233
7607,Box 202236
7608,Box 202235
7609,Box 202238
7610,Box 202239
7611,Box 202246
7612,Box 202245
7613,Box 202244
7614,K12
7615,K14
7616,K15
7617,Coventry - 9 Bishop St (C)
7618,Weaver Place - Block C
7619,Coventry - 9 Bishop St (B)
7620,Weaver Place - Block B
7621,Linz - Klauberweg 2-8
7622,Waschküche
7623,K2
7624,K7 deel 2
7625,Friedrichshafen - Fallenbrunnen 19
7626,Waschraum UG
7627,Paris - Demo Location
7628,Stock
7629,Haarlem - Vijfhuizerstraat
7630,New Harlem
7631,202936
7632,202937
7633,202939
7634,202940
7635,202941
7636,202946
7637,202949
7638,202950
7639,Miesbach - Oskar-von-Miller-Straße 14
7640,Leo Apartments
7641,Amsterdam - Laadvoorzieningen
7642,Passantenhaven Maasmechelen
7643,Old_Maasmechelen
7644,Zuil 202920
7645,Zuil 202921
7646,Zuil 202924
7647,water 28095
7648,water 28097
7649,Projects Walstroom
7650,Haven Lauwersoog
7651,Aachen - Am Guten Hirten 4
7652,MILESTONE Aachen West (Altbau)
7653,Kast W3 LL Kade
7654,Kast W8
7655,Kast W9
7656,Kast W7
7657,Kast 202927
7658,Box 202414
7659,Box 202905
7660,Box 202903
7661,Box 202916
7662,Rotterdam - Admiraliteit
7663,Admiraliteitskade
7664,Box 202933
7665,Kast 1 (URU 202242)
7666,Box 202901
7667,Kast 2 (URU 153132)
7668,Box 202907
7669,Kast 3 (URU 202243)
7670,Box 202904
7671,Box 202908
7672,Box 202919
7673,Box 202918
7674,Box 202914
7675,Maastricht - Wauwhaus
7676,Miele Laundry Boutique
7678,Box 202902
7679,Box 202906
7680,Box 202909
7681,Box 202910
7682,Box 202912
7683,Box 202915
7684,Box 202917
7685,Box 203201
7686,Box 203202
7687,Box 203203
7688,Box 203204
7689,Box 203205
7690,Kråkerøy - Bjølstadveien 8b
7691,SiØ Vaskeri
7692,Weil am Rhein - August-Bauer-Straße 3
7693,Waschkeller Haus 2 - 1.UG
7694,Vantaa - Demo Location
7695,Milano - Via Ascanio Sforza 75
7696,Lavanderia Eco-Living
7697,Wien - Linke Wienzeile 210
7698,Waschküche
7699,virtueel voor periodieke vergoeding
7701,Hamburg - Behringstrasse 150
7703,Weigelia / Heuvelweg
7704,Almelo
7705,Gdańsk - Robotnicza 16
7706,YOUNIQ Laundry
7707,Camperplaats Almelo
7708,Huisje nr 23
7709,Huisje nr 50
7710,Huisje nr 52
7711,Huisje nr 53
7712,Huisje nr 14
7713,Huisje nr 67
7714,Huisje nr 63
7715,Huisje nr 24
7716,Huisje nr 49
7717,Huisje nr 51
7718,Huisje onbekend 17 lijkt op 39
7720,_Italy_Box Test
7721,Roermond - Ursulacomplex
7722,Jo Hansenstraat 2A - Miele Laundry Boutique
7723,Rotterdam - Douane
7724,Douane - Westzeedijk 381 - Stadswonen - Miele Laundry Boutique
7725,Berlin - Storkower Straße 205A
7726,Waschkeller
7727,Box 203223
7728,Box 203231
7729,Box 203214
7730,Box 203841
7731,Box 201236
7732,Box 203234
7733,Box 203224
7734,Box 203232
7735,Box 203216
7736,Hamburg - Tarpenbekstraße 62
7737,Waschkeller
7738,Box 203217
7739,Box 203215
7740,Box 203218
7741,Box 202911
7742,Box 203207
7743,Box 203209
7744,Box 203212
7745,Box 203213
7746,Box 203222
7747,Box 203210
7748,Box 203220
7749,Box 202923
7750,Box 203219
7751,Box 203208
7752,Box 202913
7753,Berlin - Breite Straße 42a
7754,Garden Studios - Waschkeller
7755,Berlin - Unter den Eichen 96
7756,Oak Studios - Waschkeller
7757,Berlin - Clayallee 336
7758,Clay Studios - Waschkeller
7759,Bremen - Fahrenheitstrasse 21
7760,Waschkeller
7762,Haus Meidling - Waschküche
7763,Konstanz - Rheingutstraße 40
7764,Europahaus - Waschraum 1. OG
7765,Nürnberg - Maxtormauer 50
7766,Student Apartments - Waschraum
7767,Nottingham - Boulevard Wharf
7768,Laundry
7769,DWTA W3
7770,DWTA W4
7771,DWTA W5
7774,Berlin - Mühlenstraße 25
7775,66Monkeys - Waschkeller
7776,Clichy - 107 Rue Martre
7777,Moov'Appart Hotel - LAVERIE 3e ETAGE
7778,Oudewater (vervallen)
7779,Markt Westzijde
7780,Kast 1
7781,Kast 2
7782,Schwarzach - Baderstraße 10a
7783,KSK Campus JK24 - Waschküche Mitarbeiterwohnungen
7784,Location Update: Please re-enter machine number in settings -> account -> my preferred laundrette
